,Datetime,Text,TweetID,username
96,2020-06-23 23:16:15+00:00,"#SushantSinghRajput બધા એ બવ વિચાર્યું કારણો વિશે કે faliure ના લીધે આવું કર્યું . કોઈ પણ માણસ જીવન માં જલ્દી faluire ના લીધે આવું નથી કરતો ..જયારે પોતાના જ એકલા પાડી દે મિત્રો,પ્રેમ ,પરિવાર જયારે બધા તરછોડી મૂકે તો માણસ જોડે છૅ લે એક જ વિકલ્પ રે ય છે .....",1275568380024676353,PatelDe75942657
97,2020-06-23 23:15:49+00:00,Watch online #SushantSinghRajput #Blockbuster #movie https://gtbeelog.blogspot.com/2020/06/chhichhore-2019-full-hd-movie-online.html?m=,1275568271417368576,alaginsane
98,2020-06-23 23:15:49+00:00,@shekharkapur @itsSSR @Kangana_Ra i beg to all of you please please withdraw n stop saying about SSR that he was depressed and attempted suicide. This is not SUICIDE. PURE MURDER. arre everywhere in social media spreading he committed suicide. How come?,1275568269710233601,SudakshinaBhat3
99,2020-06-23 23:15:05+00:00,Answer to What are some interesting facts about Sushant Singh Rajput? by Tanmay Gupta ,1275568085563576320,DeepakK22396148
100,2020-06-23 23:14:55+00:00,Watch online #SushantSinghRajput #Blockbuster #movie https://gtbeelog.blogspot.com/2020/06/chhichhore-2019-full-hd-movie-online.html?m=1,1275568045734473728,alaginsane
101,2020-06-23 23:14:27+00:00,"I logged in my twitter account after 5years, I saw I was following you, suddenly I unfollowed. You moron, you called sushant on stage n you were bullying him rite. Fake sympathy. Why didn’t you do this with Kapoor and Khan child’s? #RIPSushant",1275567929111851009,NPalled
102,2020-06-23 23:14:02+00:00,Is this true? That's a start. I thought we're fightin a losin battle here. I thought we'r nvr gonna get answers & justice for #SushantSinghRajput. Hope &amp; pray that police will leave no stone unturned to catch the murderers &amp; give em the severest punishment. #FIRForSushantUnder302,1275567821095792640,Pinkishhue1
103,2020-06-23 23:13:56+00:00,"قد يرحل من نُحب، لكنهم يبقون قاطنين في قلوبنا. Those we love may leave, but they continue to live in our hearts. #SushantSinghRajput ",1275567796907319297,llZaHaII
104,2020-06-23 23:13:39+00:00,"Alia Bhatt ! RRR movies, Rajamouli, Ramcharan, Alia Bhatt, Sushant Singh Rajput ",1275567726543634436,MDSEntertainme1
105,2020-06-23 23:13:00+00:00,"Sandip Singh took to social media and shared a heartfelt note for Ankita Lokhande, who's reported to be devastated by Sushant Singh Rajput's suicide. ",1275567561497665536,news18dotcom
106,2020-06-23 23:12:37+00:00,M.S. Dhoni (Sushant Singh Rajput) fan for ever.,1275567465154543618,BiggOdds
107,2020-06-23 23:12:31+00:00,#SushantSinghRajput #CBIEnquiryForSushant,1275567439015636998,guneet65251629
108,2020-06-23 23:10:47+00:00,Yes we want a CBI enquire behind the death of the most deserving actor @itsSSR . If @ranbirrk or @aliaa08 had died in similar circumstances wouldn’t this demand had been met immediately without the nations jury. So why nepotism in CBI enquiry after an actors death too.,1275567005358125057,Testimo83756609
109,2020-06-23 23:10:12+00:00,Let me assure you my dear that I am not even Indian but a big fan and supporter of Sushant Singh Rajput...Cinema and music is an international language!,1275566857475559425,RizcallahSalma
